user_id,movie_id,title,genre,director,actor1,actor2,rating
1,1,Inception,Sci-Fi,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,1
1,2,The Shawshank Redemption,Drama,Frank Darabont,Tim Robbins,Morgan Freeman,3
1,3,Pulp Fiction,Crime,Quentin Tarantino,John Travolta,Samuel L. Jackson,3
1,4,The Dark Knight,Action,Christopher Nolan,Christian Bale,Heath Ledger,3
1,5,Blade Runner,Sci-Fi,Ridley Scott,Harrison Ford,Rutger Hauer,3
1,6,The Godfather,Crime,Francis Ford Coppola,Marlon Brando,Al Pacino,5
1,7,Interstellar,Sci-Fi,Christopher Nolan,Matthew McConaughey,Anne Hathaway,3
1,8,Saving Private Ryan,War,Steven Spielberg,Tom Hanks,Matt Damon,3
1,9,Schindler's List,History,Steven Spielberg,Liam Neeson,Ben Kingsley,1
1,10,The Matrix,Sci-Fi,Lana and Lilly Wachowski,Keanu Reeves,Carrie-Anne Moss,3
1,11,The Departed,Crime,Martin Scorsese,Leonardo DiCaprio,Jack Nicholson,5
1,12,Titanic,Romance,James Cameron,Leonardo DiCaprio,Kate Winslet,1
1,13,The Terminator,Sci-Fi,James Cameron,Arnold Schwarzenegger,Linda Hamilton,2
1,14,Inglourious Basterds,War,Quentin Tarantino,Brad Pitt,M̩lanie Laurent,2
1,15,The Silence of the Lambs,Crime,Jonathan Demme,Jodie Foster,Anthony Hopkins,3
1,16,Die Hard,Action,John McTiernan,Bruce Willis,Alan Rickman,2
1,17,Eternal Sunshine of the Spotless Mind,Romance,Michel Gondry,Jim Carrey,Kate Winslet,4
1,18,The Martian,Sci-Fi,Ridley Scott,Matt Damon,Jessica Chastain,3
1,29,The Fugitive,Action,Andrew Davis,Harrison Ford,Tommy Lee Jones,4
1,30,Her,Sci-Fi,Spike Jonze,Joaquin Phoenix,Scarlett Johansson,3
1,1,Inception,Sci-Fi,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,3
1,2,The Shawshank Redemption,Drama,Frank Darabont,Tim Robbins,Morgan Freeman,5
1,3,Pulp Fiction,Crime,Quentin Tarantino,John Travolta,Samuel L. Jackson,3
1,4,The Dark Knight,Action,Christopher Nolan,Christian Bale,Heath Ledger,3
1,5,Blade Runner,Sci-Fi,Ridley Scott,Harrison Ford,Rutger Hauer,1
1,6,The Godfather,Crime,Francis Ford Coppola,Marlon Brando,Al Pacino,2
2,7,Interstellar,Sci-Fi,Christopher Nolan,Matthew McConaughey,Anne Hathaway,4
2,8,Saving Private Ryan,War,Steven Spielberg,Tom Hanks,Matt Damon,1
2,14,Inglourious Basterds,War,Quentin Tarantino,Brad Pitt,M̩lanie Laurent,1
2,15,The Silence of the Lambs,Crime,Jonathan Demme,Jodie Foster,Anthony Hopkins,3
2,16,Die Hard,Action,John McTiernan,Bruce Willis,Alan Rickman,3
2,17,Eternal Sunshine of the Spotless Mind,Romance,Michel Gondry,Jim Carrey,Kate Winslet,1
2,18,The Martian,Sci-Fi,Ridley Scott,Matt Damon,Jessica Chastain,4
2,19,The Godfather: Part II,Crime,Francis Ford Coppola,Al Pacino,Robert De Niro,4
2,20,Braveheart,War,Mel Gibson,Mel Gibson,Sophie Marceau,5
2,21,Back to the Future,Sci-Fi,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,1
2,26,Citizen Kane,Drama,Orson Welles,Orson Welles,Joseph Cotten,5
2,27,The French Connection,Crime,William Friedkin,Gene Hackman,Roy Scheider,4
2,28,La La Land,Romance,Damien Chazelle,Ryan Gosling,Emma Stone,3
2,29,The Fugitive,Action,Andrew Davis,Harrison Ford,Tommy Lee Jones,1
2,30,Her,Sci-Fi,Spike Jonze,Joaquin Phoenix,Scarlett Johansson,4
2,1,Inception,Sci-Fi,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,1
2,2,The Shawshank Redemption,Drama,Frank Darabont,Tim Robbins,Morgan Freeman,3
2,3,Pulp Fiction,Crime,Quentin Tarantino,John Travolta,Samuel L. Jackson,5
2,4,The Dark Knight,Action,Christopher Nolan,Christian Bale,Heath Ledger,5
2,5,Blade Runner,Sci-Fi,Ridley Scott,Harrison Ford,Rutger Hauer,2
2,6,The Godfather,Crime,Francis Ford Coppola,Marlon Brando,Al Pacino,4
2,7,Interstellar,Sci-Fi,Christopher Nolan,Matthew McConaughey,Anne Hathaway,4
2,8,Saving Private Ryan,War,Steven Spielberg,Tom Hanks,Matt Damon,1
2,9,Schindler's List,History,Steven Spielberg,Liam Neeson,Ben Kingsley,4
2,10,The Matrix,Sci-Fi,Lana and Lilly Wachowski,Keanu Reeves,Carrie-Anne Moss,2
2,11,The Departed,Crime,Martin Scorsese,Leonardo DiCaprio,Jack Nicholson,4
2,12,Titanic,Romance,James Cameron,Leonardo DiCaprio,Kate Winslet,5
2,13,The Terminator,Sci-Fi,James Cameron,Arnold Schwarzenegger,Linda Hamilton,5
3,17,Eternal Sunshine of the Spotless Mind,Romance,Michel Gondry,Jim Carrey,Kate Winslet,2
3,18,The Martian,Sci-Fi,Ridley Scott,Matt Damon,Jessica Chastain,5
3,19,The Godfather: Part II,Crime,Francis Ford Coppola,Al Pacino,Robert De Niro,4
3,20,Braveheart,War,Mel Gibson,Mel Gibson,Sophie Marceau,2
3,21,Back to the Future,Sci-Fi,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,4
3,22,The Dark Knight Rises,Action,Christopher Nolan,Christian Bale,Tom Hardy,2
3,23,The Shawshank Redemption,Drama,Frank Darabont,Tim Robbins,Morgan Freeman,2
3,24,Heat,Crime,Michael Mann,Al Pacino,Robert De Niro,5
3,25,The Fifth Element,Sci-Fi,Luc Besson,Bruce Willis,Milla Jovovich,4
3,26,Citizen Kane,Drama,Orson Welles,Orson Welles,Joseph Cotten,5
3,27,The French Connection,Crime,William Friedkin,Gene Hackman,Roy Scheider,4
3,28,La La Land,Romance,Damien Chazelle,Ryan Gosling,Emma Stone,2
3,29,The Fugitive,Action,Andrew Davis,Harrison Ford,Tommy Lee Jones,1
3,30,Her,Sci-Fi,Spike Jonze,Joaquin Phoenix,Scarlett Johansson,5
3,1,Inception,Sci-Fi,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,5
3,2,The Shawshank Redemption,Drama,Frank Darabont,Tim Robbins,Morgan Freeman,2
3,3,Pulp Fiction,Crime,Quentin Tarantino,John Travolta,Samuel L. Jackson,5
3,7,Interstellar,Sci-Fi,Christopher Nolan,Matthew McConaughey,Anne Hathaway,1
3,8,Saving Private Ryan,War,Steven Spielberg,Tom Hanks,Matt Damon,3
3,9,Schindler's List,History,Steven Spielberg,Liam Neeson,Ben Kingsley,1
3,10,The Matrix,Sci-Fi,Lana and Lilly Wachowski,Keanu Reeves,Carrie-Anne Moss,3
3,11,The Departed,Crime,Martin Scorsese,Leonardo DiCaprio,Jack Nicholson,4
3,12,Titanic,Romance,James Cameron,Leonardo DiCaprio,Kate Winslet,5
3,13,The Terminator,Sci-Fi,James Cameron,Arnold Schwarzenegger,Linda Hamilton,5
3,14,Inglourious Basterds,War,Quentin Tarantino,Brad Pitt,M̩lanie Laurent,3
3,15,The Silence of the Lambs,Crime,Jonathan Demme,Jodie Foster,Anthony Hopkins,5
3,16,Die Hard,Action,John McTiernan,Bruce Willis,Alan Rickman,1
3,17,Eternal Sunshine of the Spotless Mind,Romance,Michel Gondry,Jim Carrey,Kate Winslet,4
3,18,The Martian,Sci-Fi,Ridley Scott,Matt Damon,Jessica Chastain,3
3,19,The Godfather: Part II,Crime,Francis Ford Coppola,Al Pacino,Robert De Niro,3
3,20,Braveheart,War,Mel Gibson,Mel Gibson,Sophie Marceau,1
4,21,Back to the Future,Sci-Fi,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,2
4,22,The Dark Knight Rises,Action,Christopher Nolan,Christian Bale,Tom Hardy,5
4,23,The Shawshank Redemption,Drama,Frank Darabont,Tim Robbins,Morgan Freeman,2
4,24,Heat,Crime,Michael Mann,Al Pacino,Robert De Niro,2
4,25,The Fifth Element,Sci-Fi,Luc Besson,Bruce Willis,Milla Jovovich,1
4,26,Citizen Kane,Drama,Orson Welles,Orson Welles,Joseph Cotten,2
4,27,The French Connection,Crime,William Friedkin,Gene Hackman,Roy Scheider,1
4,28,La La Land,Romance,Damien Chazelle,Ryan Gosling,Emma Stone,3
4,29,The Fugitive,Action,Andrew Davis,Harrison Ford,Tommy Lee Jones,3
4,30,Her,Sci-Fi,Spike Jonze,Joaquin Phoenix,Scarlett Johansson,5
4,7,Interstellar,Sci-Fi,Christopher Nolan,Matthew McConaughey,Anne Hathaway,4
4,8,Saving Private Ryan,War,Steven Spielberg,Tom Hanks,Matt Damon,1
4,9,Schindler's List,History,Steven Spielberg,Liam Neeson,Ben Kingsley,4
4,10,The Matrix,Sci-Fi,Lana and Lilly Wachowski,Keanu Reeves,Carrie-Anne Moss,4
4,11,The Departed,Crime,Martin Scorsese,Leonardo DiCaprio,Jack Nicholson,5
